Quote	Author	URL	Title
A bad memory for the school material might result from the conditioned depreciation of knowledge that cuts off the recall and/or consolidation signal	Piotr Wozniak	https://supermemo.guru/wiki/How_school_turns_off_memory	How school turns off memory
A fallacy is less harmful than a shortage of creative thought.	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
A free young mind will quickly get rid of asemantic knowledge via fast-track forgetting	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
A good hour of self-learning is worth more than 10 hours of boredom in an average classroom!	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_and_learning	Sleep and learning
A single bias vector can turn rich knowledge of neuroscience into harm with far-reaching social consequences	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Abuse of variable reward can backfire	Piotr Wozniak	https://supermemo.guru/wiki/Reward_diversity_in_preventing_addictions	Reward diversity in preventing addictions
Adult ignorance of brain science explains why children fail to learn	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
All brainwork should be based on self-regulation and natural transitions to high creativity and/or rest. All forms of control will increase the fatigue and reduce the productivity	Piotr Wozniak	https://supermemo.guru/wiki/Optimizing_the_timing_of_brainwork	Optimizing the timing of brainwork
All forms of coercion in education should be eliminated	Piotr Wozniak	https://supermemo.guru/wiki/Abandon_early_math_instruction!	Abandon early math instruction!
All freedoms can be abused, which does not mean they should be taken away	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
All people with mood swings should consider learning as therapy.	Piotr Wozniak	https://supermemo.guru/index.php?title=Pleasure_of_learning&oldid=17070	Pleasure of learning
All the child needs for healthy development is access to rich environments and freedom to navigate those environments	Piotr Wozniak	https://supermemo.guru/wiki/Baby_management	Baby management
As a result of schooling, children rapidly lose their passion for learning, joy of exercise, and the zest for life in general	Piotr Wozniak	https://supermemo.guru/wiki/Destructive_impact_of_praise_in_learning	Destructive impact of praise in learning
As it is possible to condition a Pavlov's dog to fear the sound of a bell, it is possible to condition a human being to panic at the sight of a math formula	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
As much as all electronic equipment provides conditions of good use, the brain manual calls for brain hygiene that includes smart learning and plenty of sleep	Piotr Wozniak	https://supermemo.guru/wiki/How_schools_can_contribute_to_Alzheimer%27s_disease	How schools can contribute to Alzheimer's disease
As the day goes on, our ability to recall facts from memory is getting worse and worse	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_and_learning	Sleep and learning
At school, instead of learning, kids often learn to dislike learning	Piotr Wozniak	https://supermemo.guru/wiki/How_school_turns_off_memory	How school turns off memory
Bad employment of SuperMemo might suppress the learn drive!	Piotr Wozniak	https://supermemo.guru/wiki/Modern_schooling_is_like_Soviet_economy	Modern schooling is like Soviet economy
Before puberty, brain development is more about structural crystallization than about declarative learning. This is why play and exploration should receive priority over schooling	Piotr Wozniak	https://supermemo.guru/wiki/Childhood_amnesia	Childhood amnesia
Boundaries are more often used to keep kids limited rather than keeping them safe	Piotr Wozniak	https://supermemo.guru/wiki/Optimization_of_behavioral_spaces_in_development	Optimization of behavioral spaces in development
Brain connectivity is determined by functional demand	Piotr Wozniak	https://supermemo.guru/wiki/Concept_network	Concept network
By sketching the climbing pathways, we slow down or prevent the new generation from scaling new heights	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
By taking away all youth for focused study, we destroy the creative potential in the young generation. It is time for all educators, teachers, and parents who did not get this message to wake up and understand that we need both: Focus and Creativity	Piotr Wozniak	https://supermemo.guru/wiki/Confusing_creativity_with_ADHD	Confusing creativity with ADHD
Childhood passions can germinate and branch out in many directions. All they need is a conducive exploratory environment. Passions feed on time, love, and access to knowledge. The latter is pretty easy in the era of the Internet	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Children are great generalizing machines, but they are equally great at forgetting	Piotr Wozniak	https://supermemo.guru/wiki/Mechanism_of_forgetting	Mechanism of forgetting
Children often hate school and they have well justified reasons	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Children should be able to dream and pursue naïve passions. Those are seeds of future great ideas	Piotr Wozniak	https://supermemo.guru/wiki/Resistance	Reactance
Children should be allowed to soak in knowledge at high speeds, instead of being tormented with a trickle of bits transmitted at slow rate in an inefficient code	Piotr Wozniak	https://supermemo.guru/wiki/Tunnel_vision_of_school_letteracy	Tunnel vision of school letteracy
Children struggle with formal schooling due to (1) volatile memory, (2) limited knowledge, and (3) poor metacognitive skills	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
Classrooms hurt discovery learning more than they hurt the cognitive response to direct instruction. The culprit is the classrooms, not the discovery	Piotr Wozniak	https://supermemo.guru/wiki/Direct_instruction_blocks_pathways_to_great_discoveries	Direct instruction blocks pathways to great discoveries
Coercion, by definition, violates the Fundamental law of learning	Piotr Wozniak	https://supermemo.guru/wiki/Can_coercion_cause_dyslexia%3F	Can coercion cause dyslexia?
Cognitive biases and ancient mythology make schools evolve towards their own demise	Piotr Wozniak	https://supermemo.guru/wiki/Asemantic_curriculum	Asemantic curriculum
Cognitive biases and bad design make school curriculum evolve towards increasing school hate	Piotr Wozniak	https://supermemo.guru/wiki/Asemantic_curriculum	Asemantic curriculum
Cognitive development counts more than academic achievement!	Piotr Wozniak	https://supermemo.guru/wiki/Daycare_infections	Daycare infections
Combating ADHD with medication may suppress the benefits that come with a creative mind	Piotr Wozniak	https://supermemo.guru/wiki/I_have_ADHD_and_I_love_it	I have ADHD and I love it
Compulsory schooling is a blatant violation of human rights	Piotr Wozniak	https://supermemo.guru/wiki/Compulsory_schooling_must_end	Compulsory schooling must end
Compulsory schooling is a violation of human rights	Piotr Wozniak	https://supermemo.guru/wiki/10_mortal_sins_of_schooling	10 mortal sins of schooling
Compulsory schooling triggers mechanisms that block exploratory learning that underlies efficient acquisition of knowledge and skills	Piotr Wozniak	https://supermemo.guru/wiki/Education_counteracts_evolution	Education counteracts evolution
Conceptual computation (reasoning) is a simple chain of connected concepts streaming through the mind	Piotr Wozniak	https://supermemo.guru/wiki/Conceptual_computation	Conceptual computation
Conceptual computation is a simple chain of connected concepts streaming through your mind. Even the most complex problems can be reduced to simple links between simple ideas	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Creativity and attention stand in opposition. In the waking state, we gradually lose creative powers, but gain on the ability to focus	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Curriculum is intended to serve as a guiding light, instead it usually becomes a tool of coercion and a cause of slow learning and stunted creativity	Piotr Wozniak	https://supermemo.guru/wiki/Curriculum	Curriculum
Denying freedom is unethical and dangerous. Deniers can be denied their freedoms too	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
Digital devices and Google are a blessing for education	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Digital media is the antabuse of multitasking. The pain of disruption makes the need for remedies obvious	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Disagreements in science are the engine of progress	Piotr Wozniak	https://supermemo.guru/wiki/School_curriculum_is_inherently_political	School curriculum is inherently political
Displeasure in learning carries a risk of developing toxic memories that may have a dramatic long-term impact on the Learn drive (i.e. interest in learning)	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Disrespect for the hygiene of learning can be detrimental for the brain	Piotr Wozniak	https://supermemo.guru/wiki/Bad_learning_contributes_to_Alzheimer%27s	Bad learning contributes to Alzheimer's
Diversity of reward is an important defense against the dangers of variable reward. Reward diversity is preventive in depression	Piotr Wozniak	https://supermemo.guru/wiki/Reward_diversity_in_preventing_addictions	Reward diversity in preventing addictions
Do not invest in schooling in the industrialized world. This brings miniscule returns on investment. Invest in bringing the web to all kids in all corners of the world. This will change this planet!	Piotr Wozniak	https://supermemo.guru/wiki/Bill_Gates_is_wrong_about_education	Bill Gates is wrong about education
Due to an exponential increase in the awareness of the bad effects of schooling, reforms in the direction of free learning are inevitable, and not far away	Piotr Wozniak	https://supermemo.guru/wiki/School	School
Due to its negative impact on the learn drive, passive schooling suppresses long-term learning, creativity and intelligence	Piotr Wozniak	https://supermemo.guru/wiki/Passive_schooling	Passive schooling
During a waking day, we progressively move from high alertness to high sleepiness along a homeostatic curve	Piotr Wozniak	https://supermemo.guru/wiki/Homeostatic	Homeostatic sleep propensity
Early academic instruction is harmful. It undermines child's intelligence by interfering with the conceptualization process of the growing brain	Piotr Wozniak	https://supermemo.guru/wiki/Conceptualization_theory_of_childhood_amnesia	Conceptualization theory of childhood amnesia
Early academic instruction without the consent of the child is inhumane and a violation of a child's rights	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Early education must be child-led education at the risk of inflicting harm on young brains!	Piotr Wozniak	https://supermemo.guru/wiki/SuperMemo_does_not_work_for_kids	SuperMemo does not work for kids
Early instruction may provide a semblance of learning, while affecting passions, preferences, and brain potential for decades	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
Ebbinghaus methodology in investigating memory may provide a false impression that human memory is wildly more volatile than it actually is	Piotr Wozniak	https://supermemo.guru/wiki/Error_of_Ebbinghaus_forgetting_curve	Error of Ebbinghaus forgetting curve
Education is based on wrong principles and a wrong design (Piotr Wozniak, 2017)	Piotr Wozniak	https://supermemo.guru/index.php?title=Problem_of_Schooling&oldid=18929	Problem of Schooling
Education is based on wrong principles and a wrong design.	Piotr Wozniak	https://supermemo.guru/index.php?title=Problem_of_Schooling&oldid=18929	Problem of Schooling
Educational systems are optimized without employing the neural networks that power the learn drive. Education is optimized without employing the best natural optimization tool in existence. As a result, school systems drift in dangerous directions that affect millions of kids around the world. The negative outcomes will last for generations!	Piotr Wozniak	https://supermemo.guru/wiki/Education_Reform	Education Reform
Effective learning methods expose the abysmal inefficiency of schooling! SuperMemo produced in a month as much as schools have produced in 13 years	Piotr Wozniak	https://supermemo.guru/wiki/13_years_of_school_in_a_month	13 years of school in a month
Efficient learning is based on exploration. While exploring the labyrinth of life, we look for jigsaw pieces of information that match the puzzle of knowledge. As we keep exploring, we build the jigsaw puzzle. This way a rat may explore an island as depicted here	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Efficient learning is based on exploration. While exploring the labyrinth of life, we look for jigsaw pieces of information that match the puzzle of knowledge. As we keep exploring, we build the jigsaw puzzle.	Piotr Wozniak	https://supermemo.guru/wiki/Education_counteracts_evolution	Education counteracts evolution
Employ incremental writing to organize mental computation and extend it beyond the limits of human memory. Incremental writing helps you creatively elaborate on your ideas and keep track of all your thoughts	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Endless fake rewards and micro-penalties may turn off knowledge valuations and undermine long-term learning at school	Piotr Wozniak	https://supermemo.guru/index.php?title=Pleasure_of_learning&oldid=17070	Pleasure of learning
Even the most complex problems can be reduced to simple links between simple ideas	Piotr Wozniak	https://supermemo.guru/wiki/Conceptual_computation	Conceptual computation
Even though naps provide an excellent compensation for lost sleep in the night, they cannot provide a full functional replacement. To achieve your maximum cognitive capacity, you need to run your night sleep uninterrupted until completion!	Piotr Wozniak	https://supermemo.guru/wiki/Power_nap	Power nap
Evening routine should be all about protecting sleep, however, it can also be used for some slow untiring focused work, and passive learning	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Evolution of knowledge is convergent onto an ever improving approximation of reality. Accelerated dissemination of information, accelerates the convergence of knowledge	Piotr Wozniak	https://supermemo.guru/wiki/On_freedom_of_education_and_freedom_of_information	On freedom of education and freedom of information
Evolving diversity of knowledge in society is essential for survival	Piotr Wozniak	https://supermemo.guru/wiki/School_curriculum_is_inherently_political	School curriculum is inherently political
Fake rewards lead to fake learning. Fake lives make unhappy societies	Piotr Wozniak	https://supermemo.guru/wiki/Destructive_impact_of_praise_in_learning	Destructive impact of praise in learning
Fidgeting plays an important neurophysiological role and should not be suppressed	Piotr Wozniak	https://supermemo.guru/wiki/Fidgeting_is_good	Fidgeting is good
First waking moments can be used to capture the remnants of nighttime knowledge processing. Many best ideas seem to come out directly from dreams	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Focus on short-term outcomes in schooling results in pressures extending well beyond the optimum push zone	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
For a slow reader, the first step to faster reading is more reading!	Piotr Wozniak	https://supermemo.guru/wiki/How_can_I_read_faster%3F	How can I read faster?
For a typical school kid, learn drive is supplanted with teaching-and-homework, creativity is largely absent, and sleep is injured	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
For human mind, the learn drive is the source of inexhaustible reward	Piotr Wozniak	https://supermemo.guru/wiki/Modern_education_is_a_threat_to_the_survival_of_mankind	Modern education is a threat to the survival of mankind
For kids who go to school sleepy, the whole idea of school is harmful. They would do better unschooled	Piotr Wozniak	https://supermemo.guru/wiki/Schools_violate_the_Genius_Checklist	Schools violate the Genius Checklist
For the same kid, a minor change in the label may result in a major change in outcomes	Piotr Wozniak	https://supermemo.guru/wiki/IQ_is_a_dismal_measure_of_intelligence	IQ is a dismal measure of intelligence
Forgetting is an essential ingredient of an intelligent brain	Piotr Wozniak	https://supermemo.guru/wiki/Mechanism_of_forgetting	Mechanism of forgetting
Forgetting is exponential due to the random nature of memory interference	Piotr Wozniak	https://supermemo.guru/wiki/Forgetting_curve	Forgetting curve
Forgetting primarily affects memories that are inconsistent or irrelevant	Piotr Wozniak	https://supermemo.guru/wiki/Mechanism_of_forgetting	Mechanism of forgetting
Free choice in tools of learning and in access to knowledge are a basic child's right	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Free learning based on the learn drive needs no optimization and no verification. It is a self-regulating entity	Piotr Wozniak	https://supermemo.guru/wiki/PISA_fuels_the_education_arms_race	PISA fuels the education arms race
Free learning is a positive force that brings forth learning, knowledge, happy lives, and happy society	Piotr Wozniak	https://supermemo.guru/wiki/Free_learning	Free learning
Free learning is the best prevention of creative injury at school	Piotr Wozniak	https://supermemo.guru/wiki/Creativity	Creativity
Free learning is the best remedy for false beliefs. Best learning is learning that is rich, wide, free, and lifelong	Piotr Wozniak	https://supermemo.guru/wiki/Myths_are_easy_to_swallow_and_hard_to_kill	Myths are easy to swallow and hard to kill
Free running sleep synchronized with the daylight cycle is the healthiest form of sleep and will result in highest productivity	Piotr Wozniak	https://supermemo.guru/wiki/Best_time_for_napping	Best time for napping
Free sleep is a basic child's right	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_deprivation_amplifies_the_harm_of_schooling	Sleep deprivation amplifies the harm of schooling
Freedom is central to education as it underlies the Fundamental law of learning.	Piotr Wozniak	https://supermemo.guru/wiki/Introduce_Mandatory_Adult_Education!	Introduce Mandatory Adult Education!
Freedom of learning is the key to developing high skills in knowledge acquisition and creative problem solving.	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
From decade to decade we crank up the pressure of schooling. We push kids harder and harder to achieve more and more. In the process, schools are highly efficient killers of childhood passions and the learn drive. This is highly detrimental to further progress of mankind	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Fundamentalists thrive in conditions of repression, and fade in conditions of freedom	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
Gamification would turn SuperMemo into a school: fake rewards for fake learning	Piotr Wozniak	https://supermemo.guru/wiki/Reward_diversity_in_preventing_addictions	Reward diversity in preventing addictions
Gaping holes in understanding of the world may distort a child's valuation of knowledge. An attempt to override exorbitant valuations will meet with proportional resistance that may lead to a prompt loss of adult authority	Piotr Wozniak	https://supermemo.guru/wiki/Resistance	Reactance
Good brain comes with a warranty of good knowledge!	Piotr Wozniak	https://supermemo.guru/wiki/Schools_violate_the_Genius_Checklist	Schools violate the Genius Checklist
Good learning is inherently pleasurable, and without pleasure there is no good learning.	Piotr Wozniak	https://supermemo.guru/index.php?title=Pleasure_of_learning&oldid=17070	Pleasure of learning
Governments waste billions to achieve what comes naturally, and destroy passion for what might be achieved later	Piotr Wozniak	https://supermemo.guru/wiki/School_dropouts	School dropouts
Great achievement is less about brain power and more about giving the brain a chance	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Great brains change the world, and great brains need no benchmark	Piotr Wozniak	https://supermemo.guru/wiki/PISA_fuels_the_education_arms_race	PISA fuels the education arms race
Hard data is useful, but lack thereof does not render a good mind impotent	Piotr Wozniak	https://supermemo.guru/wiki/Can_coercion_cause_dyslexia%3F	Can coercion cause dyslexia?
Healthy brain and stress resilience live in a positive feedback loop: one facilitates the other	Piotr Wozniak	https://supermemo.guru/wiki/Using_stress_valves_to_prevent_chronic_stress	Using stress valves to prevent chronic stress
Heterogeneity of knowledge is the best safety valve protecting mankind in the long run	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
High creativity is based on an easy and unexpected activation of concept maps in mental computation	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Highly creative people switch between extro- and intro- modes on demand	Piotr Wozniak	https://supermemo.guru/wiki/Are_extroverts_more_creative%3F	Are extroverts more creative?
Hippocampal lesions provide a very strong clue to the idea that the conversion of short-term to long-term memories is computational, and not just molecular/synaptic in nature. It also hints that the nature and the layout of memories will differ upon the conversion	Piotr Wozniak	https://supermemo.guru/wiki/Neural_optimization_in_sleep	Neural optimization in sleep
Human brain works like a perfect inventing machine. It gathers information, converts it into coherent knowledge, creatively expands knowledge (both in waking and in sleep), and comes up with solutions to problems, action trajectories, and more.	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
If daycare shifts the burden of disease to earlier ages, it contributes to worse long-term cognitive outcomes.	Piotr Wozniak	https://supermemo.guru/wiki/Daycare_infections	Daycare infections
If deprivation leads to handicaps, deprivation of digital media will handicap a start to adult life in the digital world	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
If knowledge is like a jigsaw puzzle, child's brain will reject new pieces that do not fit the puzzle.	Piotr Wozniak	https://supermemo.guru/wiki/SuperMemo_does_not_work_for_kids	SuperMemo does not work for kids
If learning is not pleasurable, it is guaranteed to be suboptimum. If learning is made pleasurable with extrinsic reward (e.g. grades), it is also likely to be suboptimum	Piotr Wozniak	https://supermemo.guru/wiki/Passive_schooling	Passive schooling
If life is a rich jungle, school is a human-made farmyard. Farm animals don't survive well in the wild.	Piotr Wozniak	https://supermemo.guru/wiki/Optimal_socialization	Optimal socialization
If spaced repetition needed two decades to explode, incremental reading may need three. This means that by 2030, all smart people will use a form of incremental reading	Piotr Wozniak	https://supermemo.guru/wiki/Why_is_incremental_reading_not_popular%3F	Why is incremental reading not popular?
If we free the kids, the innovation will happen! Formal instruction steals their youth and passions	Piotr Wozniak	https://supermemo.guru/wiki/PISA_fuels_the_education_arms_race	PISA fuels the education arms race
If you follow these rules religiously, you will be amazed by how much progress you can make in a decade	Piotr Wozniak	https://supermemo.guru/wiki/Genius_checklist	Genius checklist
If you get stuck while solving a problem, your first disruptive step is disruptive learning	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
In a free running condition, where both sleep and learning are taken ad libitum, good learning days are followed by less sleep due to the fact that they correlate with minimum sleep debt.	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_and_learning	Sleep and learning
In a healthy lifestyle, there is only one truly effective way to combat mental fatigue: sleep!!!	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
In creative mode, random search of the concept network seeks concept associations that may reveal a solution to a problem	Piotr Wozniak	https://supermemo.guru/wiki/Creativity	Creativity
In educational goal setting, schools create a fake problem and then take credit for solving it	Piotr Wozniak	https://supermemo.guru/wiki/Exponential_acceleration_in_free_learning	Exponential acceleration in free learning
In healthy individuals, free learning provides an instant remedy for disruptive creativity	Piotr Wozniak	https://supermemo.guru/wiki/Creativity	Creativity
In learning, intervals should be as long as it is necessary for a selected small proportion of knowledge to be forgotten. This proportion, called the forgetting index, can vary from 3% (for slower and meticulous learning) to 20% (for faster learning characterized by lower retention of knowledge)	Piotr Wozniak	https://supermemo.guru/wiki/General_principles_of_spaced_repetition	General principles of spaced repetition
In modern education, the concept of a teacher will become obsolete	Piotr Wozniak	https://supermemo.guru/wiki/Do_we_need_teachers%3F	Do we need teachers?
In reading, the optimum inflow of knowledge is largely independent of reading skills. This is why the speed of reading matters only for slow readers	Piotr Wozniak	https://supermemo.guru/wiki/How_can_I_read_faster%3F	How can I read faster?
In sleep deprivation, learning can undo prior learning via magnified interference	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_deprivation_amplifies_the_harm_of_schooling	Sleep deprivation amplifies the harm of schooling
In the conveyor belt of mass education, most of students get the short end of the stick	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Incessant conditioning that involves asemantic learning is one of main reasons why schooling undermines human intelligence	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_learning	Semantic learning
Incremental learning is the most powerful activator of the learn drive	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Incremental learning supports learn drive, dream drive, spontaneous creativity, and self-directed expansion of knowledge.	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Incremental reading gives you knowlede for life	Piotr Wozniak	https://supermemo.guru/wiki/How_can_I_read_faster%3F	How can I read faster?
Incremental reading is the best known way to practically augment human intelligence	Piotr Wozniak	https://supermemo.guru/wiki/Mountain_climb_metaphor_of_schooling	Mountain climb metaphor of schooling
Instead of employing stoicism, proper circadian timing makes it possible to channel the energy of acute stress into a resolution	Piotr Wozniak	https://supermemo.guru/wiki/Using_stress_valves_to_prevent_chronic_stress	Using stress valves to prevent chronic stress
Instilling passion in kids is a noble exercise. However, compulsory education carries inherent flaws that overwhelmingly work against that effort. Explaining the importance of knowledge is vital but it generally does not work. Even the best teachers keep failing.	Piotr Wozniak	https://supermemo.guru/wiki/Learning_history:_school_vs._self-directed_learning	Learning history: school vs. self-directed learning
Intelligence is an important concept, and should best be measured by what an intellect can accomplish in a lifetime	Piotr Wozniak	https://supermemo.guru/wiki/IQ_is_a_dismal_measure_of_intelligence	IQ is a dismal measure of intelligence
Internet makes us smarter!	Piotr Wozniak	https://supermemo.guru/wiki/Proof:_Internet_makes_us_smarter	Proof: Internet makes us smarter
It is better to miss a class or two than to go to school sleepy!!!	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_and_learning	Sleep and learning
It is possible to avoid infections for decades in otherwise vulnerable individuals	Piotr Wozniak	https://supermemo.guru/wiki/Formula_for_common_cold_prevention	Formula for common cold prevention
It is possible to enslave people incrementally and meet no opposition	Piotr Wozniak	https://supermemo.guru/wiki/Modern_schooling_is_like_Soviet_economy	Modern schooling is like Soviet economy
Kids are not fantastic learners, their amazing learning outcomes stem from freedom	Piotr Wozniak	https://supermemo.guru/wiki/Exponential_acceleration_in_free_learning	Exponential acceleration in free learning
Kim and Education systems will fail in their quest for perfection. The problem is that most people think that Kim is bad, and school is good	Piotr Wozniak	https://supermemo.guru/wiki/Utopian_visions:_Education_via-a-vis_North_Korea	Utopian visions: Education via-a-vis North Korea
Laziness of teens and adults is comparable. The only disadvantage of the teen years is lesser knowledge and lesser maturity. Those factors affects teen valuations of knowledge, and options in life. Those valuations will evolve slowly, and adult impatience usually backfires. Free learning maximizes the speed of maturation	Piotr Wozniak	https://supermemo.guru/wiki/Myth:_students_are_lazy	Myth: Students are naturally lazy and do not like to learn
Learned helplessness is the mechanism by which students gain classroom focus at the cost of creativity. In the process, they gradually lose their learn drive.	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Learning in the condition of sleep deprivation today, may contribute to Alzheimer's disease decades later	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_deprivation_amplifies_the_harm_of_schooling	Sleep deprivation amplifies the harm of schooling
Learning must be fun or it won't work	Piotr Wozniak	https://supermemo.guru/wiki/Hating_SuperMemo	Hating SuperMemo
Learntropy is the attractiveness of any educative signal as determined by the learn drive system.	Piotr Wozniak	https://supermemo.guru/index.php?title=Pleasure_of_learning&oldid=17070	Pleasure of learning
Local optimization and the wisdom of the crowds can be employed to transition towards a perfect model of education.	Piotr Wozniak	https://supermemo.guru/wiki/Education_Reform	Education Reform
Long-term semantic learning is possible in the period of childhood amnesia	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
Love of learning can be suppressed quite effectively, and then it can also be restored and revived	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Major portion of your time spent on problem solving should be spent in protected mental computation mode where all distractions should be considered mental pests	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Mandatory education is harmful, for kids and adults alike. It violates the Fundamental law of learning. Coercive education is a hallmark of illiberal democracy	Piotr Wozniak	https://supermemo.guru/wiki/Introduce_Mandatory_Adult_Education!	Introduce Mandatory Adult Education!
Many of my references disagree with my point of view, which I explain in the accompanying commentary	Piotr Wozniak	https://supermemo.guru/wiki/References	References
Mass production of great teachers is as hard as mass production of genius.	Piotr Wozniak	https://supermemo.guru/wiki/Bill_Gates_is_wrong_about_education	Bill Gates is wrong about education
Mass-production of graduates requires discipline. Discipline destroys the pleasure of learning. Enforcing discipline converts good intentions of a teacher into a torment of school for children	Piotr Wozniak	https://supermemo.guru/wiki/Prussian_discipline_inevitably_destroys_education	Prussian discipline inevitably destroys education
Memories of low stability and complex memories show a more pronounced spacing effect	Piotr Wozniak	https://supermemo.guru/wiki/Spacing_effect	Spacing effect
